Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class,Rdelta,Rtheta,Ralpha,Rbeta,Rgamma,,(Theta+alpha)/beta,Alpha/beta,(Theta+alpha)/(alpha+beta),Theta/beta,,rdelta,rtheta,ralpha,rbeta
18392.053,2413.76,1357.771,3047.891,659.784,0,0.710906763,0.0932989,0.052481829,0.117809922,0.025502586,,1.562512843,0.445478857,0.690547785,0.791944331,,,0.353953752,0.199103531,0.446942717
18925.688,2268.374,774.01,1784.258,420.541,0,0.782930915,0.09383966,0.03201978,0.073812416,0.01739723,,1.341217983,0.433799372,0.750718052,1.271326232,,,0.469969391,0.160362007,0.369668602
18966.227,2291.443,1277.877,2474.168,442.116,0,0.745181241,0.090030576,0.050207665,0.097209824,0.017370695,,1.557673483,0.516487563,0.748974266,0.926146891,,,0.379159022,0.211446933,0.409394045
18610.376,2101.136,1116.305,2273.036,459.419,0,0.757743074,0.085550193,0.045451655,0.092549301,0.018705778,,1.531286409,0.491107488,0.735554295,0.924374273,,,0.382687333,0.203316579,0.413996088
23104.499,2655.948,1309.168,2435.006,580.442,0,0.767972432,0.088281284,0.043515548,0.080937374,0.019293362,,1.492919289,0.537644671,0.778855201,1.090735711,,,0.414983964,0.204553601,0.380462435
7853.484,1780.317,815.291,1687.44,365.397,0,0.628181779,0.142403384,0.065213216,0.134974371,0.02922725,,1.457947096,0.483152586,0.74849766,1.055040179,,,0.4156659,0.190352992,0.393981109
11964.843,1955.158,1009.988,1987.666,449.662,0,0.688928693,0.112576859,0.058154521,0.114448651,0.025891276,,1.516576154,0.508127623,0.752036104,0.98364514,,,0.39475716,0.203922136,0.401320704
8068.787,2180.326,1166.599,2374.609,518.733,0,0.563893812,0.152373875,0.08152873,0.165951502,0.036252082,,1.535057143,0.491280459,0.734790947,0.918183162,,,0.381073677,0.203896193,0.41503013
21936.676,2549.483,951.017,2102.777,458.927,0,0.783484054,0.091056607,0.033966252,0.075102183,0.016390906,,1.373023472,0.452267169,0.752430002,1.212436221,,,0.454998566,0.169725145,0.375276289
11081.705,2583.349,1349.608,2681.428,546.258,0,0.607471418,0.141612746,0.073982143,0.146989192,0.029944501,,1.522425735,0.503316889,0.747032021,0.963422848,,,0.39056526,0.204041343,0.405393396
9699.754,2160.401,1453.299,3671.368,888.822,0,0.542684749,0.120870764,0.081309609,0.205406799,0.04972808,,1.672698726,0.395846725,0.619657603,0.588445778,,,0.296551933,0.199490108,0.503957959
12281.487,2022.89,1237.015,3063.728,523.685,0,0.642041518,0.105750987,0.064667657,0.160163063,0.027376775,,1.611508782,0.403761365,0.640878674,0.660270755,,,0.319893643,0.195617772,0.484488584
10759.075,2476.929,1294.356,2821.403,482.893,0,0.603267874,0.138882914,0.072575327,0.158197781,0.027076104,,1.522564837,0.458763247,0.711787219,0.877906843,,,0.375708512,0.196332058,0.42795943
12178.491,1904.747,1451.549,2525.364,474.456,0,0.657067668,0.102767056,0.078315607,0.136251284,0.025598385,,1.762069188,0.574788031,0.757609911,0.754246517,,,0.323845139,0.246792402,0.429362459
7652.219,2283.491,938.544,1654.035,328.71,0,0.595179248,0.177606843,0.072998683,0.128648606,0.025566619,,1.411012787,0.567426929,0.8182892,1.380557848,,,0.468305623,0.192479599,0.339214777
23573.298,2822.154,1360.768,3099.542,724.154,0,0.746464873,0.089365469,0.043089665,0.098149153,0.02293084,,1.482173545,0.439022281,0.706372296,0.910506778,,,0.387527353,0.186855438,0.425617209
31619.202,2504.983,1077.802,2378.161,521.975,0,0.829854074,0.065743922,0.02828719,0.062415446,0.013699368,,1.430263199,0.453208172,0.733704556,1.05332776,,,0.42023246,0.180810563,0.398956978
19776.099,2605.625,1333.807,2717.018,646.796,0,0.73030197,0.096221862,0.049255512,0.10033544,0.023885216,,1.511895227,0.490908415,0.740127038,0.959001744,,,0.391443637,0.200378129,0.408178233
19334.84,2214.16,1147.921,2443.678,470.133,0,0.754950698,0.086454382,0.044821874,0.095416172,0.018356875,,1.51844537,0.469751334,0.721811493,0.906076824,,,0.381373047,0.19772109,0.420905863
9775.891,2140.693,1067.462,2239.817,532.586,0,0.620437448,0.135861386,0.067747625,0.142152397,0.033801144,,1.498652539,0.476584471,0.732370203,0.955744599,,,0.392933921,0.195937497,0.411128581
26711.63,2236.297,1038.62,2302.54,557.012,0,0.813235995,0.068084097,0.031620802,0.070100866,0.016958239,,1.464437416,0.451075768,0.72153219,0.971230467,,,0.4009528,0.186217482,0.412829718
9832.142,2403.697,1105.221,2161.87,492.655,0,0.614678488,0.150272528,0.069095379,0.135154169,0.030799436,,1.459800466,0.511233793,0.768561276,1.111860103,,,0.423873543,0.194897252,0.381229205
21741.882,1866.824,1220.422,2393.501,665.542,0,0.779609462,0.066939635,0.043761278,0.085824954,0.02386467,,1.653742399,0.509889906,0.724650349,0.779955388,,,0.340614883,0.222674391,0.436710726
12445.404,2062.515,1043.611,2166.126,571.317,0,0.680486761,0.112773692,0.057062307,0.118438909,0.031238331,,1.505989532,0.48178684,0.734544739,0.952167602,,,0.3912019,0.197944066,0.410854034
6886.448,1981.394,1097.731,2302.738,436.922,0,0.542016664,0.155951016,0.086399911,0.181243272,0.034389137,,1.554019544,0.476706859,0.718727854,0.860451341,,,0.36816136,0.203968589,0.427870052
6581.357,1748.837,960.344,1776.356,428.115,0,0.572540396,0.152138811,0.083544432,0.154532806,0.037243555,,1.549132938,0.540625866,0.768519908,0.984508173,,,0.38988353,0.214097888,0.396018581
11740.692,2016.386,953.211,1941.535,398.295,0,0.68859883,0.118262283,0.055906413,0.113872226,0.023360248,,1.472732403,0.490957413,0.750292136,1.038552486,,,0.410574589,0.194091912,0.395333499
16934.609,2187.388,1081.527,2223.354,450.035,0,0.74024887,0.095615523,0.047275915,0.097187676,0.019672016,,1.494437658,0.486439406,0.74112587,0.983823539,,,0.398266727,0.196918068,0.404815205
11730.69,1768.864,960.621,1596.617,376.168,0,0.713851309,0.107641228,0.058456967,0.097159428,0.022891068,,1.543072277,0.60166026,0.811023744,1.107882479,,,0.408881714,0.222052323,0.369065963
18321.547,2305.154,1253.818,2164.528,565.977,0,0.744444725,0.093663474,0.050945381,0.08794953,0.02299689,,1.543919408,0.579257002,0.79624725,1.064968437,,,0.402752512,0.219064908,0.378182581
28860.431,2178.122,1189.725,2445.575,639.06,0,0.817276983,0.06168061,0.033690933,0.069254411,0.018097063,,1.54621596,0.486480685,0.728388344,0.890637989,,,0.374671235,0.204651408,0.420677357
11776.348,2223.764,985.774,2280.541,422.906,0,0.665731602,0.125712145,0.055727031,0.12892182,0.023907402,,1.443290745,0.432254452,0.712548995,0.975103714,,,0.405051366,0.179555522,0.415393112
11136.449,2054.543,962.897,1830.581,370.661,0,0.680914693,0.1256207,0.058874307,0.111927015,0.022663285,,1.468667241,0.526006224,0.776665043,1.122344764,,,0.423790037,0.198616508,0.377593455
13449.707,1759.692,1025.63,2162.951,423.693,0,0.714586158,0.093492858,0.054491968,0.114918105,0.022510911,,1.582846316,0.474180876,0.710062578,0.813560733,,,0.355617404,0.207270294,0.437112302
11330.81,2096.82,958.58,1803.648,360.408,0,0.684630084,0.126694036,0.057919311,0.108980001,0.021776568,,1.457158936,0.531467337,0.783341896,1.162543911,,,0.431528974,0.197277327,0.371193699
10754.608,1850.773,1072.415,2221.35,408.733,0,0.65947313,0.113489498,0.065760544,0.136213299,0.025063529,,1.579441671,0.48277624,0.717853562,0.833174871,,,0.359754948,0.208457008,0.431788044
22018.35,2049.037,1468.337,3813.316,775.704,0,0.730905796,0.068018404,0.048741891,0.126584179,0.025749729,,1.716598578,0.385055159,0.599993552,0.53733732,,,0.279514889,0.200299972,0.520185139
10374.118,2031.927,1395.192,2557.578,541.859,0,0.613828656,0.120227572,0.082552447,0.151329941,0.032061384,,1.686634904,0.545512981,0.746729549,0.79447313,,,0.339520447,0.233126589,0.427352964
12091.001,2161.841,1051.692,2093.506,498.999,0,0.675586671,0.120793222,0.058763464,0.116974992,0.027881651,,1.48647981,0.5023592,0.755175312,1.032641416,,,0.407353517,0.198169262,0.394477222
8555.261,1820.921,692.719,1513.714,356.5,0,0.661193675,0.140729949,0.053536815,0.116987445,0.027552116,,1.380422325,0.45762872,0.753797642,1.20294917,,,0.452138302,0.172003504,0.375858194
17147.931,2727.197,1128.31,2656.082,702.202,0,0.703888297,0.111945986,0.046314871,0.109026858,0.028823989,,1.413725154,0.424802397,0.716200479,1.026774399,,,0.418822042,0.173277214,0.407900744
10681.893,1721.182,1015.957,2077.65,467.67,0,0.669109088,0.107814085,0.0636391,0.130143084,0.029294643,,1.590267037,0.488993334,0.720521202,0.82842731,,,0.357478178,0.211007585,0.431514237
7783.027,2434.846,1187.621,2561.639,518.885,0,0.537278568,0.168082492,0.081983952,0.176835277,0.035819712,,1.487760212,0.463617629,0.725003077,0.950503174,,,0.393726434,0.192044089,0.414229478
7042.674,1817.606,948.05,2159.525,523.12,0,0.563820999,0.145513541,0.075898799,0.172886824,0.041879837,,1.521592688,0.439008578,0.695389717,0.841669349,,,0.369043493,0.192490388,0.438466119
6374.494,1849.889,888.915,1778.193,395.982,0,0.564740576,0.163888676,0.078752348,0.157536855,0.035081546,,1.480523426,0.49989793,0.754890325,1.040319583,,,0.409539568,0.196793356,0.393667076
21549.116,2352.406,1089.548,2284.248,518.613,0,0.775317317,0.084637398,0.039200932,0.082185136,0.018659217,,1.463163246,0.476983235,0.742335745,1.029838266,,,0.410814358,0.190274112,0.39891153
10399.355,1753.663,1012.38,1932.272,410.059,0,0.670591742,0.11308316,0.065282286,0.124600578,0.026442234,,1.577294497,0.523932448,0.750431844,0.907565291,,,0.373253603,0.215477251,0.411269146
10890.58,1948.355,980.07,1966.148,450.738,0,0.670771934,0.120002961,0.060364411,0.121098867,0.027761827,,1.503024346,0.498472139,0.748096246,0.990950325,,,0.398064346,0.200236057,0.401699597
29524.183,2739.669,1106.859,2092.818,399.843,0,0.823240575,0.076391841,0.030863216,0.058355305,0.011149063,,1.404011945,0.528884499,0.795972757,1.309081344,,,0.461274524,0.186360417,0.352365058
9956.997,2295.729,890.984,1672.344,357.493,0,0.656207609,0.151298111,0.05871956,0.110214441,0.023560279,,1.388105042,0.532775553,0.8030883,1.372761226,,,0.472463896,0.18336562,0.344170484
12556.384,2323.594,1251.731,2103.219,414.149,0,0.67329788,0.124595657,0.067120266,0.112778718,0.02220748,,1.538704696,0.595150101,0.807652142,1.104779864,,,0.409188341,0.220431681,0.370379978
7635.803,1880.421,960.197,1717.958,398.485,0,0.606359522,0.149324332,0.076249295,0.136423136,0.031643715,,1.510628737,0.558917622,0.789416012,1.094567504,,,0.412501843,0.210635295,0.376862862
