Theta,Alpha,Beta,Delta,Class
0.123291405,0.060855831,0.095407132,0.022293661,0
0.084532569,0.036089565,0.07137523,0.013639098,0
0.109924484,0.047052358,0.093596979,0.017337613,0
0.052546207,0.031616202,0.073577172,0.016976812,0
0.0854786,0.04367613,0.121634879,0.027869439,0
0.116821128,0.053226034,0.130274628,0.030091425,0
0.073514187,0.036086401,0.087939732,0.018966661,0
0.088399287,0.047386556,0.083042071,0.022440123,0
0.133053908,0.099508781,0.204885756,0.044644029,0
0.139026192,0.101841562,0.249506982,0.054786459,0
0.120405232,0.070371318,0.163260556,0.032731388,0
0.164712368,0.074924627,0.150861006,0.034317246,0
0.152574467,0.077753263,0.154063003,0.038881977,0
0.111505293,0.056595782,0.137843205,0.031040496,0
0.104773188,0.056040541,0.114607173,0.024692551,0
0.151973895,0.08018389,0.150620666,0.030897897,0
0.083840125,0.041610186,0.072859177,0.018197902,0
0.16416332,0.0689906,0.159782205,0.03197247,0
0.061580767,0.032795086,0.06766548,0.015513018,0
0.093284724,0.04320109,0.094456017,0.021835926,0
0.092090169,0.046772296,0.093791133,0.019434097,0
0.171448134,0.073892485,0.120670642,0.024292955,0
0.138754928,0.08841396,0.1629957,0.031293365,0
0.154492199,0.084959915,0.173081959,0.034271502,0
0.149124484,0.075078912,0.178388273,0.029961561,0
0.195151081,0.092364985,0.18304824,0.038487495,0
0.03481076,0.016010574,0.040089493,0.008686693,0
0.170800853,0.058177076,0.106715615,0.021797047,0
0.102420684,0.074545467,0.207095214,0.052068472,0
0.103603462,0.056834966,0.168832902,0.042368809,0
0.10192689,0.049141324,0.14353996,0.031188526,0
0.14585397,0.084294978,0.227084859,0.049645335,0
0.131149889,0.073838644,0.157614837,0.034634011,0
0.122756792,0.064652147,0.17011346,0.035921227,0
0.100242694,0.053083422,0.117908274,0.030221861,0
0.138047188,0.076989201,0.16453462,0.037979408,0
0.132711177,0.072581392,0.16527066,0.029314131,0
0.11524838,0.049961688,0.132391898,0.026767141,0
0.104483786,0.065916324,0.14957151,0.030047886,0
0.056868575,0.030340271,0.076362462,0.023259258,0
0.08993299,0.051467639,0.090296899,0.023481021,0
0.149870671,0.084859774,0.193606255,0.049945357,0
0.082737392,0.054640843,0.123786185,0.030027091,0
0.112913153,0.057786969,0.154993131,0.036259749,0
0.096036993,0.04999171,0.099936485,0.018945519,0
0.087450935,0.044595478,0.081567646,0.016106974,0
0.065520346,0.035668846,0.092872274,0.022386539,0
0.148094142,0.089988751,0.278523376,0.061195462,0
0.117623057,0.054266162,0.159174937,0.033042261,0
0.142427029,0.086439257,0.193302913,0.050115511,0
0.125798873,0.095472246,0.330346613,0.067503333,0
0.083707054,0.057778977,0.15298831,0.033048023,0
0.127040616,0.063886688,0.134214405,0.033254162,0
0.105983813,0.056602115,0.109159368,0.02441304,0
0.146728847,0.083278392,0.180750602,0.038758507,0
0.145509107,0.078443454,0.163518374,0.036524182,0
0.070497194,0.047981445,0.104290992,0.021756856,0
0.165221262,0.092577783,0.198733223,0.043286516,0
0.053753624,0.044380093,0.099754216,0.024959307,0
0.105100068,0.049618041,0.113182491,0.027075402,0
0.100573579,0.060077941,0.170675288,0.040889266,0
0.103502734,0.067770089,0.136556475,0.026668599,0
0.121331963,0.048740306,0.092677611,0.02548674,0
0.132744676,0.065498925,0.133723516,0.02999154,0
0.101943782,0.049530675,0.107697155,0.026278732,0
0.116189198,0.044280671,0.107573803,0.021514816,0
0.170806553,0.073820597,0.163932448,0.035319069,0
0.161142098,0.07324558,0.147857299,0.032910524,0
0.114533707,0.079596442,0.215310181,0.041200822,0
0.053053583,0.024709312,0.045747985,0.01164043,0
0.073055361,0.038019762,0.097973681,0.023241734,0
0.072804032,0.0473097,0.084238331,0.018016994,0
0.064154077,0.034794968,0.075388488,0.015004445,0
0.093604232,0.050429672,0.100027984,0.020824428,0
0.063901624,0.03644662,0.079819238,0.016984421,0
0.123438189,0.053445728,0.148533156,0.034682582,0
0.158016279,0.102938692,0.237821161,0.050342147,0
0.052906469,0.02318169,0.064910703,0.013243944,0
0.081418207,0.045025829,0.084449232,0.023694158,0
0.133177347,0.073859629,0.186736947,0.043634795,0
0.089519859,0.047673506,0.080424592,0.019581056,0
0.099194682,0.057215201,0.146002374,0.030961673,0
0.063062868,0.036114623,0.083352906,0.020485253,0
0.066803463,0.027199457,0.06821008,0.020804481,0
0.066537373,0.029558574,0.07996459,0.021684988,0
0.080645372,0.035142839,0.090890573,0.020723614,0
0.125523482,0.071637432,0.159712525,0.034181964,0
0.049581053,0.038870492,0.10879969,0.023957701,0
0.087722902,0.041313262,0.109195411,0.023939025,0
0.130422492,0.06697312,0.14299294,0.031327998,0
0.070127452,0.040828413,0.08179766,0.022451229,0
0.164588189,0.058844722,0.147668026,0.033875065,0
0.196281954,0.067252322,0.096519684,0.023423964,0
0.047502324,0.028556759,0.094299183,0.025787887,0
0.152690907,0.078587296,0.215693405,0.043585512,0
0.129576255,0.079668428,0.149892216,0.039169945,0
0.122936377,0.062063477,0.143719968,0.034640694,0
0.04338414,0.024027313,0.092883947,0.022698222,0
0.111399947,0.037990936,0.107462163,0.021044169,0
0.063079079,0.033858085,0.068455049,0.01672531,0
0.087367477,0.04009138,0.09967071,0.021068144,0
0.076241496,0.04090163,0.097263518,0.020665504,0
0.075829166,0.033245902,0.074196679,0.020054309,0
0.048419381,0.032876312,0.073765079,0.017223309,0
0.08142025,0.047015834,0.101238275,0.025559681,0
0.042373424,0.033271734,0.067010863,0.013148652,0
0.185950391,0.080544777,0.168320787,0.034029213,0
0.170273635,0.050528898,0.093236309,0.022551901,0
0.088648187,0.079583189,0.25100728,0.070934667,0
0.076534722,0.037566365,0.072255851,0.016866482,0
0.105119831,0.061844209,0.164314109,0.038099417,0
0.077757984,0.040358641,0.113717688,0.029317574,0
0.071650672,0.039398044,0.097322238,0.023280529,0
0.124398573,0.049478153,0.150288064,0.034276753,0
0.166883579,0.075391585,0.164765048,0.03769849,0
0.098517651,0.041906304,0.098071082,0.021773413,0
0.089439684,0.045216998,0.100001513,0.020320177,0
0.088458483,0.036218374,0.065618368,0.015222745,0
0.092133577,0.035420005,0.076177532,0.016096594,0
0.082877226,0.03158615,0.069212612,0.015109812,0
0.082870362,0.047814202,0.087345282,0.016190105,0
0.082985594,0.031383519,0.078779147,0.016040374,0
0.137775034,0.05836358,0.132922845,0.028431595,0
0.086148043,0.033243308,0.07340227,0.015959272,0
0.112479289,0.053425936,0.097579207,0.020012777,0
0.133198346,0.04421807,0.093725184,0.020792637,0
0.09169723,0.042103922,0.073864267,0.016573058,0
0.05047832,0.029049911,0.059931069,0.017118904,0
0.078734948,0.030223768,0.054094656,0.012178965,0
0.083218368,0.029970619,0.076074016,0.017757784,0
0.107993721,0.052278008,0.105387035,0.021236871,0
0.153049011,0.082424727,0.164677734,0.028969235,0
0.07793881,0.030575345,0.059077568,0.012460122,0
0.065099307,0.038777179,0.06558481,0.013256332,0
0.089851858,0.030069925,0.07081874,0.016514601,0
0.078607584,0.032624501,0.066434927,0.014128747,0
0.041075581,0.026506836,0.05104122,0.009417714,0
0.118174055,0.050137139,0.106393872,0.021330526,0
0.110879492,0.064954869,0.131008984,0.030860428,0
0.080273153,0.038290661,0.065905129,0.015017273,0
0.109546849,0.043545371,0.070862857,0.014509441,0
0.135472394,0.046665854,0.07155067,0.017099726,0
0.065641971,0.025659068,0.046881322,0.011636946,0
0.158185173,0.068583374,0.118155092,0.028707919,0
0.067561408,0.024103549,0.0531727,0.014252868,0
0.15750001,0.091602967,0.265009838,0.066461457,2
