Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
11087.805,1729.391,1095.865,1601.87,363.766,0
9875.017,2472.427,1114.413,2050.886,380.83,0
10910.591,2429.896,958.61,1786.61,376.023,0
11541.01,2657.157,1118.649,1783.459,312.262,0
11439.447,2021.096,1060.035,2515.855,561.205,0
11400.707,2551.752,971.027,1661.719,335.885,0
12331.019,2430.319,1356.23,2592.583,553.277,0
17949.391,2856.581,1757.662,3433.459,716.924,0
13447.91,2331.73,1603.439,2776.474,674.259,0
11033.574,3024.574,1348.21,2625.799,532.996,0
13727.945,2228.208,1342.546,2325.043,418.735,0
16733.429,2905.561,1670.018,3109.473,567.406,0
13503.444,3294.434,1848.54,3282.391,617.497,0
10749.215,3082.828,1553.664,2363.176,432.349,0
12265.885,2517.852,1369.433,2045.89,418.419,0
13621.736,2396.733,1151.201,2232.235,485.241,0
17135.301,2658.927,1818.233,3054.697,742.187,0
10965.979,2492.411,1723.798,2779.62,590.251,0
14492.972,2802.484,1429.719,2530.25,554.442,0
9335.785,2753.905,1952.155,3087.092,696.244,0
12502.555,3090.129,1608.936,2034.553,459.793,0
19439.534,2442.236,1274.802,2202.386,452.026,0
14825.638,2205.864,1535.269,2695.047,574.146,0
14123.984,2893.969,982.264,1934.078,360.171,0
6952.002,2596.687,1035.697,1643.334,326.243,0
14292.716,2163.657,994.801,2435.127,557.934,0
11344.647,2538.122,1705.16,3638.142,723.9,0
11807.84,2204.211,1092.676,2165.457,480.279,0
12470.156,1953.87,931.44,1728.86,327.616,0
38241.006,3119.412,1700.74,3088.444,757.308,0
20167.757,2280.638,1258.721,2596.513,524.632,0
11308.929,2863.918,1523.592,2922.996,560.868,0
16317.242,2911.548,1534.809,2840.654,536.61,0
19797.927,3328.285,1591.015,2977.631,630.022,0
10962.172,3125.81,1758.501,2994.86,592.925,0
7461.671,3065.966,1624.496,2743.801,650.667,0
17481.143,2792.605,1625.293,3472.721,614.987,0
8497.798,2431.447,1348.177,2305.243,460.949,0
19577.955,3307.086,1961.019,5756.512,1416.708,0
15187.822,3088.013,1643.186,3106.508,631.722,0
17736.896,2178.128,1385.869,2486.099,468.044,0
16930.579,3184.561,1971.191,2782.976,612.491,0
12516.178,3084.415,1608.203,2599.091,555.773,0
19531.095,2554.104,1406.049,2856.695,615.343,0
11300.1,2049.912,1189.259,2250.834,453.597,0
32323.161,2663.711,1149.321,2412.211,588.618,0
22131.121,2661.662,1540.1,3176.847,620.437,0
22367.336,2338.754,1209.459,1957.036,450.847,0
26254.528,3390.371,2153.241,3732.99,843.895,0
18985.783,2136.313,1903.693,3048.032,749.876,0
19357.976,2504.002,1553.224,3457.846,784.35,0
12333.18,1851.316,1341.119,1988.604,391.662,0
17586.658,2472.542,2301.387,3686.963,841.955,0
11856.626,2569.506,1131.562,1891.887,411.576,0
11109.33,2497.651,1280.317,2395.482,489.767,0
8325.435,2191.427,1081.259,2160.63,400.767,0
11034.355,2529.241,1735.556,4399.75,930.96,0
12494.136,2693.878,1187.201,2459.509,527.721,0
11044.591,2264.532,1126.123,2326.296,453.69,0
35052.214,4623.048,2643.032,3861.597,991.677,0
13428.151,2143.022,1128.634,1905.127,454.853,0
29205.082,3261.669,1622.003,2524.009,632.682,0
49446.143,1959.376,1120.865,1745.51,375.566,0
8611.152,2011.239,1180.321,1744.504,323.168,0
23400.75,2319.253,1383.862,1977.732,454.65,0
17237.684,2336.898,1323.456,1507.321,348.435,0
28151.856,3226.645,1758.745,2478.15,569.736,0
23256.088,3364.902,1700.549,2920.042,616.713,0
15972.772,1663.505,955.043,1527.171,316.873,0
31852.487,2695.71,1375.635,2654.388,652.795,0
