Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
10477.236,3533.192,2299.486,6282.064,1244.838,1
14634.397,4137.983,2290.115,5512.43,1214.824,1
13231.729,3674.943,2744.684,5918.89,1184.094,1
16334.068,3804.551,2310.439,5923.075,1218.005,1
9737.682,2992.411,2141.648,4129.909,850.435,1
10005.86,3246.002,2266.218,6699.781,1543.853,1
19160.156,4846.046,2384.883,7256.626,1693.879,1
12199.802,3642.635,1969.818,5271.987,945.474,1
10619.571,3256.329,2098.753,4587.137,952.931,1
13102.865,3629.903,1651.921,4533.31,876.107,1
15017.23,3336.824,2107.935,5172.998,914.241,1
10236.31,3328.163,2284.192,5393.823,1127.078,1
15661.189,2635.572,1680.919,3951.939,779.321,1
15016.863,2435.283,1919.455,2951.11,719.948,1
12987.804,2842.137,2137.615,3493.404,655.117,1
10738.319,3020.16,1559.088,3859.091,663.206,1
7884.699,2732.949,1587.558,3631.106,807.146,1
18167.946,2890.234,1579.648,3740.834,760.136,1
12630.558,2799.472,1663.154,3622.94,804.252,1
13990.516,2794.352,1495.073,3400.194,615.587,1
16291.31,2933.896,1413.504,3329.767,663.018,1
12778.785,3100.452,1608.313,3238.46,615.505,1
9916.398,2666.202,1384.736,3159.953,659.662,1
10478.154,2902.619,1598.272,3592.504,739.847,1
10443.145,3060.857,1484.053,3173.437,653.279,1
13940.121,3124.946,1469.633,3448.512,705.91,1
9369.977,3752.303,1914.699,3580.253,718.798,1
18004.95,3115.863,1856.216,3665.619,654.06,1
15163.905,3081.045,1567.293,3580.625,650.054,1
17671.642,3026.348,1765.491,5398.192,1365.797,1
9838.62,3083.878,1697.249,3050.824,648.862,1
7510.911,2399.785,1630.875,3199.454,634.193,1
9777.349,3108.484,1480.077,3585.356,683.406,1
14554.645,3710.368,1938.092,3604.186,666.927,1
11710.898,2789.303,1606.438,2983.017,731.176,1
14839.865,3073.57,1943.644,3463.166,675.439,1
8680.568,2730.411,1320.811,2600.682,584.169,1
15589.27,2822.453,1768.862,3985.103,718.116,1
7926.641,3369.232,1673.691,3838.203,885.849,1
11545.6,3277.755,1341.452,3157.297,689.404,1
8006.454,3348.608,1492.553,3129.972,632.02,1
18197.352,2920.553,1466.167,3054.809,673.724,1
21417.394,3861.679,1883.227,3692.039,825.591,1
13681.258,3031.108,2007.311,6017.104,1451.891,1
15258.449,2858.085,1730.792,3821.113,927.943,1
17219.433,2734.55,1781.262,3753.195,882.913,1
16490.11,3803.952,1893.403,4033.266,905.222,1
8467.969,3429.525,2029.547,3660.66,701.519,1
16444.489,3648.84,2057.36,4394.005,1075.098,1
15508.294,2762.979,1787.451,3967.493,830.842,1
15630.519,2967.059,1746.673,3138.618,645.567,1
11301.685,3650.848,1900.173,3186.516,732.18,1
8827.371,3204.564,1555.859,3309.604,641.663,1
18427.076,3387.59,2056.24,3552.63,748.866,1
9978.654,3039.649,1390.924,3175.563,632.498,1
8821.963,3438.571,2035.727,3516.765,621.877,1
9639.178,3161.849,1968.797,3486.793,743.863,1
20428.752,3067.467,1477.948,3425.072,768.295,1
17216.292,2856.51,1776.768,3423.59,746.812,1
14953.23,2752.854,1831.395,4564.94,1167.503,1
17896.316,3288.914,1594.378,3816.876,816.613,1
12332.814,3331.396,2257.479,3414.46,689.107,1
10561.833,3183.146,1436.813,3186.827,576.135,1
9963.442,3064.851,1788.376,3442.072,630.764,1
20944.896,3511.071,1957.45,4104.355,833.592,1
24020.93,3407.367,2219.927,4347.22,1027.957,1
13566.118,3765.113,2075.566,3908.249,737.051,1
11732.339,3303.416,1442.517,3530.227,630.523,1
14755.496,3144.221,1513.557,3243.924,693.154,1
11867.988,2954.57,1652.48,3440.05,660.344,1
13254.715,3095.982,1756.569,4664.041,977.322,1
14841.926,3614.449,2501.427,5321.758,1261.185,1
18913.232,3060.142,1807.164,4809.198,1066.66,1
42066.621,3413.49,1988.328,3242.181,722.027,1
18994.961,3603.238,1813.576,2579.524,602.255,1
61409.807,5120.154,2842.732,4434.734,1034.897,1
21527.066,3040.806,1528.493,2379.166,513.694,1
15217.787,2926.651,1339.043,3270.955,615.981,1
18362.916,2894.815,1264.737,2503.224,482.755,1
11431.903,3306.767,1536.742,2501.077,474.067,1
21174.463,2556.664,1626.527,2882.229,594.903,1
16231.922,2318.434,1048.347,1934.316,417.009,1
14664.549,3390.747,1791.914,3841.118,1109.594,1
22322.21,3579.909,1769.682,3116.547,661.816,1
15070.077,2594.098,1434.616,3365.674,711.347,1
11493.189,2405.973,1209.089,2118.403,403.418,1
19066.056,2750.621,1599.241,3167.752,637.831,1
19602.229,2812.82,1460.603,2525.495,547.818,1
11460.071,2876.312,1718.01,3318.105,716.549,1
14392.857,3349.296,1626.96,3243.63,583.785,1
9026.977,2308.081,1772.013,5033.278,1054.659,1
14329.087,2436.401,1491.133,3817.282,952.549,1
7654.454,2300.656,2461.891,3754.427,768.032,1
16935.911,2356.651,1995.868,3765.168,888.413,1
20582.516,2594.598,1197.586,3030.679,635.799,1
16693.667,2516.671,1527.619,3371.219,692.494,1
19103.072,2991.485,1130.824,2730.223,578.394,1
12806.408,2581.18,1494.271,3057.65,587.268,1
31174.702,2870.219,2105.347,5124.908,1293.55,1
20682.277,3126.652,1596.155,4341.961,1044.297,1
62040.999,3414.858,1690.539,2696.511,597.479,1
26829.637,2776.824,1560.332,3002.33,630.085,1
53244.053,3773.807,2042.56,4673.141,1203.808,1
10172.841,3124.248,1705.988,4325.142,861.412,1
35599.584,3168.679,2074.679,4262.96,914.421,1
17837.897,3385.711,1782.188,4037.358,817.635,1
22530.199,3094.112,1888.754,4597.669,881.999,1
14604.115,2346.24,1502.204,3018.809,614.402,1
9754.106,2936.392,1387.646,2728.226,519.925,1
7725.284,2913.891,1542.474,4345.262,735.765,1
7900.923,3224.084,1440.695,4135.037,731.771,1
9696.525,2886.286,1623.331,4227.758,772.528,1
23457.428,3910.73,1796.987,7374.035,1457.781,1
8893.074,2785.81,1380.532,4144.743,795.842,1
6156.485,3580.286,1796.228,4236.464,754.642,1
11010.355,3142.502,1835.195,4162.839,688.792,1
12745.974,2798.696,1845.984,3824.767,762.252,1
9398.785,2894.799,1525.835,3910.023,691.028,1
12174.579,2701.291,1919.679,4089.157,802.099,1
12315.548,2598.611,1539.813,3470.11,748.945,1
10977.32,2768.467,2065.239,5611.042,1116.59,1
10187.711,3149.414,1820.011,4765.07,892.526,1
22943.949,3077.858,1810.987,4161.425,865.786,1
9068.842,2984.972,1630.498,3756.487,665.88,1
8807.556,2984.65,1947.014,4007.046,786.868,1
11848.141,3880.224,1603.437,3837.953,798.37,1
23813.874,3454.73,2034.723,4916.675,1151.383,1
9047.104,3233.942,1694.24,4800.022,864.959,1
10377.132,2452.855,1438.915,2528.135,666.443,1
8529.629,2666.442,1597.849,4578.638,811.882,1
42320.939,5194.555,2147.516,4879.855,994.467,1
10432.413,3323.643,1264.642,4656.081,889.481,1
9183.483,2937.658,1548.885,3923.364,671.764,1
45551.453,3649.886,2243.209,3433.976,734.918,1
8418.511,3272.219,1654.29,4101.961,728.761,1
7153.693,3608.657,1742.07,4069.449,717.204,1
9574.843,3420.014,1818.625,3880.323,652.657,1
13149.743,3645.331,2013.564,3786.806,659.568,1
14511.444,3268.169,2101.104,4222.899,812.061,1
13008.121,3485.672,1798.808,4181.548,727.356,1
8496.226,2584.727,1740.197,3898.272,719.672,1
10466.34,2783.692,1841.741,3192.228,644.905,1
6121.871,2517.642,1323.192,3006.911,487.989,1
7348.158,2810.706,2061.357,4730.515,872.267,1
9692.697,2613.48,1449.779,3142.296,504.663,1
12439.845,3289.639,1543.743,3461.044,643.779,1
10498.385,2779.285,1656.463,3124.167,574.115,1
5673.879,2360.144,1281.592,3068.621,565.402,1
11865.138,2633.064,2172.777,4837.523,1233.29,1
22009.776,3114.163,1822.32,4434.158,833.522,1
9887.156,2552.079,1545.733,3429.296,635.783,1
9279.384,3195.994,1562.441,3229.346,544.979,1
6495.542,2818.682,1555.466,2977.495,489.888,1
7359.796,2589.082,1710.905,4125.654,737.364,1
12211.988,3429.995,2130.431,4607.867,811.428,1
16087.705,3252.679,2270.758,4729.625,1024.526,1
8900.959,3179.276,1729.861,3719.678,653.193,1
8089.139,2844.048,1512.635,3586.285,604.287,1
6515.042,3711.204,1418.458,3524.735,620.874,1
8140.715,3733.034,1594.726,3995.519,743.793,1
22777.665,3863.507,1899.936,5559.451,942.015,1
32439.158,2890.985,2011.671,4026.143,827.25,1
77301.019,4361.945,1891.193,2845.372,664.16,1
8589.389,3043.741,1370.377,2836.026,513.658,1
31843.847,5188.734,2552.56,4285.815,910.918,1
71962.567,3978.558,2074.721,3806.575,1010.823,1
15287.849,4102.288,2270.491,4122.034,906.077,1
8192.628,2896.428,1408.116,3158.872,604.947,1
18102.322,3456.606,2318.142,3779.719,844.156,1
16380.03,3544.227,1850.138,2976.545,549.322,1
10012.466,2922.4,1664.613,2446.766,594.326,1
10576.801,3566.602,1821.701,3294.745,678.273,1
10743.558,2505.31,1476.91,2690.172,522.43,1
24526.548,4065.668,2398.048,3013.654,638.638,1
11147.355,2780.726,1579.397,2555.809,473.511,1
9899.31,2463.674,1257.807,2155.778,400.943,1
11256.511,3530.406,1605.507,2437.458,502.105,1
32373.843,4150.867,1893.674,2804.196,652.999,1
8894.884,2202.979,1061.664,2106.324,450.29,1
10592.96,2974.251,1339.808,2943.776,607.777,1
25009.136,4713.346,2247.646,4237.261,891.028,1
63656.11,6114.037,2692.048,7481.071,1709.696,1
9885.771,2533.526,1607.911,3327.2,728.937,1
11864.389,3554.684,1973.549,3609.888,820.557,1
19362.942,4144.998,1975.965,3307.595,722.161,1
12031.735,3151.397,1694.09,4105.073,844.128,1
24302.066,3160.741,1469.227,2696.503,615.969,1
16969.541,4304.055,2267.092,3292.81,593.287,1
8455.615,2573.362,1173.933,2785.491,549.496,1
9854.553,2638.056,1376.007,2526.627,581.457,1
16841.128,2887.743,1647.083,3075.037,661.997,1
10223.331,2582.262,1437.148,3270.687,552.719,1
