0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,,
721,841,740,821,781,800,960,,
861,821,762,842,842,761,842,,
882,721,721,821,881,662,880,,
801,802,662,761,762,1062,1002,,
721,840,420,821,740,740,1001,,
821,842,402,822,882,802,882,,
882,761,821,641,821,861,861,,
761,741,742,901,781,821,881,,
741,841,741,842,742,622,842,,
721,802,700,840,901,600,781,,
762,761,762,782,801,382,881,,
800,721,761,761,781,240,942,,
721,741,701,841,721,702,840,,
721,842,701,842,722,521,782,,
782,760,802,761,721,321,941,,
781,721,880,721,701,261,1001,,
762,802,802,561,721,9244,842,,
681,861,721,481,741,841,881,,
701,801,821,481,742,1022,982,,
761,741,861,782,960,881,981,,
842,822,902,460,842,821,861,,
760,861,761,282,761,882,961,,
681,781,782,721,800,901,981,,
721,741,861,421,863,781,821,,
802,822,821,261,840,842,862,,
801,821,841,241,742,880,901,,
741,801,781,481,741,782,681,,
702,741,882,682,961,601,501,,
741,861,920,740,902,1061,461,,
801,842,822,702,780,862,321,,
761,721,761,781,882,801,642,,
701,781,881,701,961,840,1021,,
781,861,882,922,901,942,961,,
882,822,781,641,841,681,862,,
801,721,761,400,882,482,1041,,
741,761,882,381,921,440,960,,
761,862,880,682,841,301,802,,
861,781,821,761,861,462,821,,
822,740,742,702,901,280,942,,
741,742,681,420,842,381,941,,
582,901,1041,281,841,601,801,,
800,821,861,342,901,362,541,,
721,741,722,320,942,521,322,,
681,782,862,782,841,301,781,,
781,821,901,821,762,641,981,,
742,781,861,842,880,402,921,,
721,742,741,741,882,540,881,,
802,721,821,780,821,341,1002,,
821,840,902,842,861,462,1001,,
801,802,861,821,941,281,882,,
721,761,741,621,901,621,941,,
801,722,780,942,782,381,1041,,
861,840,862,821,620,601,961,,
822,862,801,641,362,362,601,,
760,781,742,981,681,441,382,,
643,721,801,761,741,360,840,,
901,781,861,802,781,542,922,,
861,821,841,841,902,341,821,,
781,761,742,741,821,662,841,,
741,762,761,461,741,400,1022,,
761,742,840,281,841,521,981,,
841,800,802,721,922,341,601,,
802,822,742,681,840,502,362,,
740,760,781,422,802,321,880,,
742,722,660,361,922,721,1002,,
781,761,1062,481,880,421,941,,
842,882,741,301,861,561,881,,
781,801,521,641,522,341,921,,
761,741,321,582,321,482,821,,
881,741,861,341,941,301,762,,
862,761,801,781,901,581,821,,
800,761,762,581,601,361,822,,
862,741,821,341,362,441,781,,
901,702,841,1301,801,261,540,,
881,840,762,802,941,522,341,,
801,782,780,721,881,341,681,,
861,802,842,741,862,681,902,,
