MedianX,MeanX,SDX,Class
61.88,61.894,0.082,2.0
61.88,61.942,0.07,2.0
62.02,61.941,0.098,2.0
62.02,61.958,0.07,2.0
61.88,61.926,0.137,2.0
61.88,61.926,0.096,2.0
62.02,62.022,0.138,2.0
62.02,62.058,0.18,2.0
62.02,61.974,0.096,2.0
61.88,61.942,0.07,2.0
61.88,61.942,0.12,2.0
61.88,61.86,0.145,2.0
61.88,61.893,0.107,2.0
62.02,62.04,0.145,2.0
62.02,62.058,0.18,2.0
62.02,61.941,0.17,2.0
62.02,61.957,0.098,2.0
62.02,61.908,0.133,2.0
61.88,61.846,0.135,2.0
61.88,61.959,0.139,2.0
61.73,61.746,0.129,2.0
61.88,61.829,0.121,2.0
61.88,61.91,0.636,2.0
62.61,62.203,0.699,2.0
60.12,60.183,0.098,2.0
60.26,60.23,0.09,2.0
60.26,60.311,0.121,2.0
60.26,60.293,0.094,2.0
60.56,60.51,0.071,2.0
60.41,60.377,0.118,2.0
60.41,60.477,0.075,2.0
60.56,60.493,0.075,2.0
60.41,60.477,0.075,2.0
60.56,60.492,0.123,2.0
60.41,60.443,0.062,2.0
60.56,60.557,0.118,2.0
60.56,60.509,0.098,2.0
60.41,60.508,0.119,2.0
60.41,60.459,0.097,2.0
60.56,60.526,0.092,2.0
60.56,60.523,0.151,2.0
60.41,60.443,0.118,2.0
60.41,60.328,0.1,2.0
60.12,60.167,0.066,2.0
60.26,60.198,0.12,2.0
