0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,35-40min,40-45min
761,241,641,681,682,681,502,841,641
800,601,662,621,701,701,301,741,702
742,561,580,621,682,761,561,721,741
722,561,362,601,641,741,641,922,780
740,582,360,661,641,661,702,861,722
661,561,622,681,641,401,760,660,661
622,581,661,681,681,282,721,402,661
621,1122,641,641,701,681,662,341,702
641,1141,661,622,662,741,660,741,681
661,681,682,641,641,700,682,882,681
681,562,741,681,620,702,741,840,661
681,600,661,642,681,701,801,702,381
641,642,661,660,682,721,742,740,301
622,620,381,601,661,761,660,742,701
601,562,301,622,641,722,681,821,702
641,601,662,661,601,461,722,741,740
641,621,700,641,661,280,742,681,681
722,621,662,641,681,662,720,702,702
681,661,641,621,702,561,681,761,761
641,702,661,622,641,922,681,782,841
620,660,662,661,621,760,681,721,702
642,642,700,701,621,761,762,681,760
701,661,662,641,641,722,761,681,721
682,701,641,621,621,801,701,761,742
660,742,401,622,641,781,662,822,741
641,741,261,660,601,721,700,641,641
601,641,661,681,601,681,722,400,641
622,681,722,702,602,662,781,362,662
621,681,660,641,621,661,781,381,761
641,721,662,641,681,641,661,320,781
601,741,661,661,702,702,681,802,641
602,662,681,721,641,641,681,781,422
580,641,681,682,621,681,702,561,260
561,661,661,641,641,741,722,801,321
601,681,662,661,621,881,681,762,322
622,681,660,642,661,801,641,841,581
641,702,381,660,601,702,660,722,380
641,660,261,641,662,781,682,660,682
601,662,642,601,620,820,780,701,501
662,722,602,622,601,762,742,721,301
741,760,620,661,662,721,701,782,702
821,742,1201,701,701,681,742,762,421
701,660,722,722,681,722,800,680,261
682,682,482,641,662,721,742,662,280
681,701,620,681,641,681,701,740,422
681,722,641,720,400,601,721,802,301
701,700,662,681,341,361,641,761,440
662,641,720,642,722,321,682,661,702
601,661,442,641,681,681,681,702,621
641,681,280,602,681,762,660,520,662
641,722,282,660,582,701,662,481,660
660,661,321,662,681,641,661,362,702
682,641,321,641,681,681,761,781,701
641,661,362,641,681,761,962,681,662
641,662,280,581,641,781,841,662,620
622,700,362,641,601,681,761,620,702
681,702,280,641,642,682,701,662,741
681,661,402,901,700,841,781,660,742
641,621,341,862,781,882,901,742,520
641,641,361,781,721,721,882,781,422
621,642,281,621,662,701,741,701,381
661,681,401,361,401,400,681,641,320
661,641,341,301,241,402,742,402,341
662,620,341,642,701,801,901,280,722
620,642,301,681,662,801,880,641,700
641,681,322,741,601,721,823,702,682
642,702,320,681,620,762,721,741,621
661,660,362,661,642,801,620,662,682
661,622,321,621,621,781,381,381,681
622,641,480,601,641,721,322,261,681
641,681,301,582,641,681,681,660,641
660,681,482,601,622,741,961,682,661
