X,Class
660,0
622,0
601,0
641,0
641,0
661,0
641,0
602,0
641,0
660,0
681,0
661,0
621,0
622,0
641,0
660,0
641,0
601,0
601,0
641,0
641,0
622,0
601,0
601,0
601,0
641,0
641,0
621,0
601,0
601,0
622,0
641,0
660,0
622,0
601,0
601,0
641,0
641,0
621,0
601,0
602,0
601,0
620,0
641,0
622,0
601,0
621,0
621,0
641,0
662,0
621,0
621,0
621,0
662,0
660,0
601,0
601,0
622,0
620,0
622,0
601,0
582,0
561,0
641,0
641,0
701,0
701,0
641,0
621,0
641,0
662,0
660,0
622,0
641,0
622,0
701,0
681,0
660,0
642,0
642,0
660,0
722,0
660,0
641,0
662,0
661,0
681,0
662,0
641,0
601,0
621,0
661,0
662,0
641,0
620,0
641,0
642,0
661,0
641,0
602,0
620,0
641,0
662,0
661,0
601,0
621,0
641,0
681,0
662,0
621,0
621,0
621,0
641,0
662,0
641,0
620,0
622,0
661,0
702,0
660,0
622,0
660,0
662,0
701,0
681,0
662,0
641,0
641,0
681,0
681,0
661,0
622,0
620,0
662,0
701,0
681,0
661,0
642,0
660,0
702,0
620,0
622,0
381,0
261,0
581,0
562,0
601,0
641,0
721,0
682,0
601,0
641,0
641,0
621,0
601,0
601,0
581,0
601,0
601,0
582,0
601,0
641,0
761,0
921,0
761,0
682,0
661,0
681,0
682,0
681,0
661,0
621,0
601,0
661,0
702,0
761,0
800,0
742,0
722,0
740,0
661,0
622,0
621,0
641,0
661,0
681,0
681,0
641,0
622,0
601,0
641,0
641,0
722,0
681,0
641,0
620,0
642,0
701,0
682,0
660,0
641,0
601,0
622,0
621,0
641,0
601,0
602,0
580,0
561,0
601,0
622,0
641,0
641,0
601,0
662,0
741,0
821,0
701,0
682,0
681,0
681,0
701,0
662,0
601,0
641,0
641,0
660,0
682,0
641,0
641,0
622,0
681,0
681,0
641,0
641,0
621,0
661,0
661,0
662,0
620,0
641,0
642,0
661,0
661,0
622,0
641,0
660,0
702,0
661,0
621,0
621,0
662,0
641,0
681,0
641,0
601,0
622,0
660,0
682,0
661,0
621,0
621,0
661,0
662,0
660,0
622,0
621,0
621,0
661,0
702,0
660,0
622,0
620,0
642,0
681,0
681,0
641,0
622,0
601,0
621,0
642,0
620,0
622,0
620,0
622,0
681,0
661,0
401,0
301,0
642,0
641,0
700,0
622,0
621,0
602,0
620,0
662,0
641,0
642,0
620,0
641,0
662,0
660,0
622,0
601,0
661,0
641,0
662,0
620,0
622,0
621,0
621,0
662,0
620,0
601,0
362,0
280,0
601,0
642,0
641,0
641,0
381,0
262,0
661,0
721,0
741,0
681,0
641,0
702,0
681,0
722,0
660,0
641,0
622,0
641,0
701,0
702,0
700,0
622,0
661,0
661,0
701,0
681,0
641,0
641,0
661,0
702,0
700,0
642,0
661,0
641,0
682,0
700,0
682,0
601,0
661,0
661,0
662,0
660,0
641,0
642,0
641,0
701,0
661,0
622,0
641,0
660,0
682,0
681,0
621,0
382,0
280,0
641,0
702,0
681,0
661,0
622,0
660,0
702,0
620,0
622,0
660,0
622,0
641,0
620,0
582,0
581,0
601,0
641,0
661,0
741,0
701,0
641,0
662,0
660,0
681,0
681,0
701,0
641,0
642,0
641,0
641,0
661,0
621,0
641,0
641,0
701,0
741,0
701,0
661,0
681,0
681,0
702,0
700,0
702,0
641,0
661,0
661,0
741,0
721,0
681,0
661,0
681,0
721,0
742,0
681,0
641,0
620,0
641,0
642,0
661,0
601,0
621,0
641,0
681,0
701,0
641,0
661,0
641,0
681,0
681,0
622,0
641,0
620,0
641,0
641,0
622,0
620,0
602,0
621,0
661,0
701,0
681,0
641,0
641,0
662,0
780,0
741,0
681,0
722,0
701,0
720,0
662,0
601,0
641,0
661,0
682,0
680,0
641,0
642,0
700,0
701,0
662,0
641,0
641,0
660,0
681,0
681,0
622,0
641,0
620,0
641,0
622,0
581,0
621,0
581,0
621,0
641,0
641,0
602,0
601,0
620,0
641,0
641,0
681,0
601,0
622,0
601,0
620,0
662,0
622,0
601,0
601,0
601,0
660,0
641,0
642,0
601,0
621,0
622,0
620,0
642,0
641,0
621,0
621,0
621,0
682,0
700,0
662,0
641,0
661,0
661,0
682,0
660,0
622,0
601,0
641,0
641,0
621,0
621,0
601,0
622,0
641,0
641,0
641,0
602,0
660,0
601,0
662,0
681,0
681,0
681,0
642,0
620,0
662,0
641,0
