0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,35-40min,
761,301,400,261,421,320,481,962,
481,561,742,1861,462,821,301,1060,
301,341,460,1122,281,962,341,1102,
762,1062,603,781,481,941,421,1042,
981,821,380,481,282,1061,261,1101,
882,482,602,4283,280,1081,901,661,
1061,720,360,461,301,1022,542,441,
741,421,722,782,281,1101,480,1021,
442,1862,1081,641,261,1081,662,942,
1020,1142,702,400,701,962,601,561,
962,1201,421,861,422,1022,821,341,
1161,1121,1001,522,601,1081,702,862,
2202,702,601,301,381,1061,1101,721,
2061,420,440,321,641,901,761,481,
2023,842,262,881,541,922,1682,341,
1220,1221,721,642,382,1041,1001,360,
781,1121,421,381,280,621,622,682,
1262,682,401,261,262,461,3322,421,
1041,400,261,240,240,581,280,421,
1182,762,301,262,3722,1662,1402,242,
1161,601,261,261,3543,1021,842,260,
721,421,242,320,581,601,3282,261,
1282,241,641,261,342,361,361,261,
1161,861,381,362,400,1462,3662,261,
981,962,321,441,242,6583,741,261,
1042,1282,261,541,281,401,941,242,
1102,1300,261,321,281,761,822,320,
1061,1022,421,241,241,482,641,262,
682,1101,301,4383,261,401,781,240,
1100,2142,241,1022,781,320,681,262,
962,1281,301,901,482,562,561,381,
1001,2243,261,960,441,361,341,341,
1881,1361,282,742,341,622,521,241,
1122,2121,261,441,541,381,362,882,
1062,1522,241,721,321,561,521,521,
621,3663,401,422,702,320,341,440,
421,1201,341,580,421,782,601,242,
1201,1261,261,362,641,721,361,561,
1061,761,261,620,380,421,522,441,
882,442,962,381,542,941,320,1021,
681,681,561,462,881,1042,542,622,
422,401,620,301,1022,1062,960,461,
2040,561,381,461,921,960,742,1041,
1402,341,682,322,641,962,1261,621,
861,241,441,540,1321,981,882,381,
882,321,321,322,1142,982,901,1042,
701,241,261,360,881,880,901,1021,
1282,401,641,261,621,882,861,1041,
1201,241,381,421,361,941,902,2182,
721,681,261,362,1001,1002,1141,1321,
1221,401,862,281,582,861,1061,782,
1102,461,561,241,360,741,962,1101,
1001,261,321,261,1282,461,1021,681,
921,301,782,322,941,341,621,402,
1302,242,481,261,562,281,461,941,
901,261,781,480,7603,241,322,981,
601,241,480,301,7204,261,680,781,
722,581,642,521,801,681,541,481,
1121,341,401,382,881,421,362,421,
1181,482,321,421,901,322,301,3903,
901,301,281,321,762,261,460,1282,
602,681,242,321,761,540,262,1081,
360,421,280,882,741,322,841,661,
1042,401,301,941,662,922,641,401,
1081,281,261,841,421,560,402,341,
641,481,242,621,420,361,801,282,
381,321,261,1102,301,261,481,260,
1262,501,981,881,801,282,421,241,
961,322,601,641,582,260,321,801,
581,700,421,1282,341,261,381,462,
361,862,261,760,821,282,241,300,
882,841,381,2062,501,261,441,242,
