MedianNN,MeanNN,SDNN,Class
1031.0,1061.25,83.428,2
991.0,946.25,96.502,2
871.0,911.25,184.405,2
881.0,866.0,116.94,2
911.5,911.5,41.716,2
1041.5,1036.25,57.076,2
701.0,801.0,173.783,2
1001.5,986.5,226.937,2
861.0,891.0,160.935,2
772.0,861.5,174.672,2
931.0,961.25,233.153,2
1011.5,971.25,102.495,2
1021.5,1056.25,85.192,2
891.0,921.25,182.483,2
871.0,861.0,120.83,2
901.5,891.25,76.975,2
961.5,971.25,71.381,2
1051.5,976.25,164.585,2
751.5,856.5,215.012,2
1041.0,1001.0,183.303,2
741.5,741.25,14.149,2
791.5,861.25,177.116,2
