Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
8555.261,1820.921,692.719,1513.714,356.5,641,631.167,22.214,35.92,35.975,0.072,0
17147.931,2727.197,1128.31,2656.082,702.202,632,637.833,28.296,35.92,35.961,0.067,0
10681.893,1721.182,1015.957,2077.65,467.67,661.5,661.167,25.761,36.07,36.043,0.086,0
7783.027,2434.846,1187.621,2561.639,518.885,671.5,674.417,22.07,36.07,36.002,0.075,0
7042.674,1817.606,948.05,2159.525,523.12,661,666.083,31.001,35.92,35.961,0.067,0
6374.494,1849.889,888.915,1778.193,395.982,661,656.25,23.188,36.07,36.002,0.075,0
21549.116,2352.406,1089.548,2284.248,518.613,651,652.833,23.604,35.92,35.961,0.067,0
10399.355,1753.663,1012.38,1932.272,410.059,681,681.25,33.571,35.92,35.975,0.072,0
10890.58,1948.355,980.07,1966.148,450.738,681,682.833,31.68,36.07,36.07,0.128,0
29524.183,2739.669,1106.859,2092.818,399.843,681,681.167,28.112,36.07,36.084,0.1,0
9956.997,2295.729,890.984,1672.344,357.493,671.5,668,26.169,36.07,36.084,0.1,0
12556.384,2323.594,1251.731,2103.219,414.149,671.5,674.5,47.867,36.22,37.497,1.836,0
7635.803,1880.421,960.197,1717.958,398.485,702,701.167,26.842,39.44,39.456,0.159,0
15791.395,2331.212,934.275,1514.6,345.873,681,682.833,26.207,39,38.976,0.136,0
18991.31,2642.376,1546.172,3325.53,710.016,661,664.583,29.227,38.56,38.551,0.17,0
8881.771,2400.335,941.267,1969.928,412.352,641.5,644.583,24.513,38.12,38.189,0.169,0
24067.846,2119.966,920.595,2167.553,509.715,662,674.5,25.979,37.83,37.948,0.162,0
19073.443,2541.387,1044.906,2315.171,507.392,661.5,667.833,19.074,37.68,37.71,0.137,0
14256.226,1731.868,856.605,1975.151,473.362,641.5,661.25,43.405,37.54,37.565,0.082,0
15996.924,2253.284,1098.082,2232.02,508.576,671,677.917,61.355,37.24,37.229,0.097,0
10517.549,1533.683,1319.624,2298.677,523.315,681.5,687.75,28.659,37.24,37.189,0.143,0
20477.307,2216.514,962.363,2436.776,482.97,701,691.167,27.994,36.95,36.964,0.1,0
11587.763,1678.934,755.769,2157.205,481.033,701,704.5,39.003,36.8,36.803,0.107,0
11499.646,2437.116,950.768,2727.225,675.143,691,692.833,43.326,36.66,36.725,0.094,0
8173.38,2224.631,1148.879,2753.022,635.077,681,682.75,20.989,36.8,36.736,0.07,0
6208.857,1894.54,1108.666,2404.841,565.563,641,641.25,31.626,36.66,37.564,1.324,0
