alp,thet,Class
0.052392039,0.08020347,0
0.053172858,0.114125849,0
0.07225443,0.167035897,0
0.051246246,0.090378895,0
0.073018661,0.147962578,0
0.046944429,0.130172962,0
0.05880785,0.090518885,0
0.048046431,0.094579727,0
0.055755375,0.139872636,0
0.038627586,0.081793681,0
0.047697549,0.093692404,0
0.037834925,0.083422342,0
0.043657974,0.095489798,0
0.061542827,0.106332968,0
0.051102335,0.131345073,0
0.054692852,0.136751492,0
0.069567049,0.122788241,0
0.049083806,0.116261475,0
0.037018692,0.057235842,0
0.038035784,0.131251396,0
0.042656233,0.068941161,0
0.042041997,0.079986338,0
0.041324357,0.078708931,0
0.069501495,0.115395039,0
0.061822032,0.127482262,0
0.033667141,0.107573107,0
0.052481829,0.0932989,0
0.03201978,0.09383966,0
0.050207665,0.090030576,0
0.045451655,0.085550193,0
0.043515548,0.088281284,0
0.065213216,0.142403384,0
0.058154521,0.112576859,0
0.08152873,0.152373875,0
0.033966252,0.091056607,0
0.073982143,0.141612746,0
0.081309609,0.120870764,0
0.064667657,0.105750987,0
0.072575327,0.138882914,0
0.078315607,0.102767056,0
0.072998683,0.177606843,0
0.043089665,0.089365469,0
0.02828719,0.065743922,0
0.049255512,0.096221862,0
0.044821874,0.086454382,0
0.067747625,0.135861386,0
0.031620802,0.068084097,0
0.069095379,0.150272528,0
0.043761278,0.066939635,0
0.057062307,0.112773692,0
0.086399911,0.155951016,0
0.083544432,0.152138811,0
0.055906413,0.118262283,0
0.047275915,0.095615523,0
0.058456967,0.107641228,0
0.050945381,0.093663474,0
0.033690933,0.06168061,0
0.055727031,0.125712145,0
0.058874307,0.1256207,0
0.054491968,0.093492858,0
0.057919311,0.126694036,0
0.065760544,0.113489498,0
0.048741891,0.068018404,0
0.082552447,0.120227572,0
0.058763464,0.120793222,0
0.053536815,0.140729949,0
0.046314871,0.111945986,0
0.0636391,0.107814085,0
0.081983952,0.168082492,0
0.075898799,0.145513541,0
0.078752348,0.163888676,0
0.039200932,0.084637398,0
0.065282286,0.11308316,0
0.060364411,0.120002961,0
0.030863216,0.076391841,0
0.05871956,0.151298111,0
0.067120266,0.124595657,0
0.076249295,0.149324332,0
0.044665064,0.111448699,0
0.056812385,0.097091191,0
0.06444539,0.164342875,0
0.030907307,0.071174012,0
0.04100517,0.099731465,0
0.044399294,0.089765665,0
0.049711968,0.102009852,0
0.08149425,0.094713604,0
0.036211828,0.083403064,0
0.045362369,0.100772092,0
0.051983231,0.133249294,0
0.076925333,0.148954311,0
0.091005048,0.155513657,0
0.047969417,0.076219338,0
0.044142747,0.08509926,0
0.057942395,0.108382691,0
0.040780929,0.080197755,0
0.056282992,0.140881812,0
0.061529642,0.114838016,0
0.070085907,0.140157798,0
0.055310896,0.116206283,0
0.068403582,0.149410857,0
0.060855831,0.123291405,0
0.036089565,0.084532569,0
0.047052358,0.109924484,0
0.04367613,0.0854786,0
0.053226034,0.116821128,0
0.036086401,0.073514187,0
0.047386556,0.088399287,0
0.099508781,0.133053908,0
0.070371318,0.120405232,0
0.074924627,0.164712368,0
0.077753263,0.152574467,0
0.056595782,0.111505293,0
0.056040541,0.104773188,0
0.08018389,0.151973895,0
0.041610186,0.083840125,0
0.0689906,0.16416332,0
0.032795086,0.061580767,0
0.04320109,0.093284724,0
0.046772296,0.092090169,0
0.073892485,0.171448134,0
0.08841396,0.138754928,0
0.084959915,0.154492199,0
0.075078912,0.149124484,0
0.092364985,0.195151081,0
0.058177076,0.170800853,0
0.056834966,0.103603462,0
0.049141324,0.10192689,0
0.084294978,0.14585397,0
0.073838644,0.131149889,0
0.064652147,0.122756792,0
0.053083422,0.100242694,0
0.076989201,0.138047188,0
0.072581392,0.132711177,0
0.049961688,0.11524838,0
0.065916324,0.104483786,0
0.051467639,0.08993299,0
0.084859774,0.149870671,0
0.054640843,0.082737392,0
0.057786969,0.112913153,0
0.04999171,0.096036993,0
0.044595478,0.087450935,0
0.035668846,0.065520346,0
0.054266162,0.117623057,0
0.086439257,0.142427029,0
0.057778977,0.083707054,0
0.063886688,0.127040616,0
0.056602115,0.105983813,0
0.083278392,0.146728847,0
0.078443454,0.145509107,0
0.047981445,0.070497194,0
0.092577783,0.165221262,0
0.049618041,0.105100068,0
0.060077941,0.100573579,0
0.067770089,0.103502734,0
0.048740306,0.121331963,0
0.065498925,0.132744676,0
