Rdelta,Rtheta,Ralpha,Rbeta,MedianNN,MedianX,Class
0.563820999,0.145513541,0.075898799,0.172886824,661,35.92,0
0.564740576,0.163888676,0.078752348,0.157536855,661,36.07,0
0.775317317,0.084637398,0.039200932,0.082185136,651,35.92,0
0.670591742,0.11308316,0.065282286,0.124600578,681,35.92,0
0.670771934,0.120002961,0.060364411,0.121098867,681,36.07,0
0.823240575,0.076391841,0.030863216,0.058355305,681,36.07,0
0.656207609,0.151298111,0.05871956,0.110214441,671.5,36.07,0
0.67329788,0.124595657,0.067120266,0.112778718,671.5,36.22,0
0.606359522,0.149324332,0.076249295,0.136423136,702,39.44,0
0.754942248,0.111448699,0.044665064,0.072408773,681,39,0
0.697814738,0.097091191,0.056812385,0.122192932,661,38.56,0
0.608105026,0.164342875,0.06444539,0.134874353,641.5,38.12,0
0.808034265,0.071174012,0.030907307,0.07277166,662,37.83,0
0.748497732,0.099731465,0.04100517,0.090854087,661.5,37.68,0
0.738924447,0.089765665,0.044399294,0.102375437,641.5,37.54,0
0.724206916,0.102009852,0.049711968,0.101047196,671,37.24,0
0.64951817,0.094713604,0.08149425,0.141956313,681.5,37.24,0
0.770520806,0.083403064,0.036211828,0.09169109,701,36.95,0
0.695514607,0.100772092,0.045362369,0.129478622,701,36.8,0
0.628743036,0.133249294,0.051983231,0.149111001,691,36.66,0
0.547263878,0.148954311,0.076925333,0.184333715,681,36.8,0
0.509655146,0.155513657,0.091005048,0.197401807,641,36.66,0
0.720148287,0.076219338,0.047969417,0.127169005,651,38.86,0
0.770652725,0.08509926,0.044142747,0.08250223,661,38.86,0
0.630718812,0.108382691,0.057942395,0.16592509,690.5,38.71,0
0.796533902,0.080197755,0.040780929,0.069130647,701.5,38.56,0
0.676356157,0.140881812,0.056282992,0.103991381,661,38.56,0
0.709427194,0.114838016,0.061529642,0.093654253,661.5,38.42,0
0.583197619,0.140157798,0.070085907,0.170567209,700.5,38.27,0
0.71906172,0.116206283,0.055310896,0.088165307,700.5,38.27,0
0.617496469,0.149410857,0.068403582,0.13865911,660.5,38.27,0
0.69815197,0.123291405,0.060855831,0.095407132,661,39.74,0
0.794363538,0.084532569,0.036089565,0.07137523,661,39.59,0
0.732088566,0.109924484,0.047052358,0.093596979,661.5,39.59,0
0.721340952,0.0854786,0.04367613,0.121634879,651,39.3,0
0.669586785,0.116821128,0.053226034,0.130274628,621,39.15,0
0.783493019,0.073514187,0.036086401,0.087939732,621,39.15,0
0.758731962,0.088399287,0.047386556,0.083042071,631.5,38.86,0
0.517907526,0.133053908,0.099508781,0.204885756,641,38.71,0
0.613231506,0.120405232,0.070371318,0.163260556,650.5,38.86,0
0.575184753,0.164712368,0.074924627,0.150861006,660.5,38.71,0
0.57672729,0.152574467,0.077753263,0.154063003,641.5,38.42,0
0.663015223,0.111505293,0.056595782,0.137843205,641.5,38.56,0
0.699886548,0.104773188,0.056040541,0.114607173,661.5,38.42,0
0.586323652,0.151973895,0.08018389,0.150620666,681.5,38.49,0
0.78349261,0.083840125,0.041610186,0.072859177,662,39.74,0
0.575091405,0.16416332,0.0689906,0.159782205,692,39.59,0
0.822445648,0.061580767,0.032795086,0.06766548,660.5,39.3,0
0.747222243,0.093284724,0.04320109,0.094456017,631.5,39.15,0
0.747912305,0.092090169,0.046772296,0.093791133,621.5,38.86,0
0.609695784,0.171448134,0.073892485,0.120670642,641.5,38.86,0
0.578542047,0.138754928,0.08841396,0.1629957,641,38.785,0
0.553194424,0.154492199,0.084959915,0.173081959,681,38.56,0
0.567446769,0.149124484,0.075078912,0.178388273,691,38.49,0
0.490948199,0.195151081,0.092364985,0.18304824,662,38.42,0
0.642509409,0.170800853,0.058177076,0.106715615,681,38.195,0
0.628359861,0.103603462,0.056834966,0.168832902,681,38.27,0
0.674203301,0.10192689,0.049141324,0.14353996,721,38.27,0
0.493120858,0.14585397,0.084294978,0.227084859,661,37.98,0
0.602762618,0.131149889,0.073838644,0.157614837,701,37.98,0
0.606556375,0.122756792,0.064652147,0.17011346,711,37.98,0
0.698543749,0.100242694,0.053083422,0.117908274,711.5,37.98,0
0.582449583,0.138047188,0.076989201,0.16453462,671.5,37.83,0
0.60012264,0.132711177,0.072581392,0.16527066,651,39.295,0
0.675630892,0.11524838,0.049961688,0.132391898,631,40.91,0
0.649980494,0.104483786,0.065916324,0.14957151,691,40.91,0
0.744821451,0.08993299,0.051467639,0.090296899,691.5,40.91,0
0.521717942,0.149870671,0.084859774,0.193606255,681,40.91,0
0.70880849,0.082737392,0.054640843,0.123786185,661.5,40.91,0
0.638046998,0.112913153,0.057786969,0.154993131,661,40.76,0
0.735089292,0.096036993,0.04999171,0.099936485,661,40.76,0
0.770278966,0.087450935,0.044595478,0.081567646,661.5,40.76,0
0.783551996,0.065520346,0.035668846,0.092872274,621,40.91,0
0.635893584,0.117623057,0.054266162,0.159174937,641,40.76,0
0.52771529,0.142427029,0.086439257,0.193302913,681,40.76,0
0.672477636,0.083707054,0.057778977,0.15298831,652,40.76,0
0.641604129,0.127040616,0.063886688,0.134214405,631.5,40.91,0
0.703841663,0.105983813,0.056602115,0.109159368,711,40.76,0
0.550483651,0.146728847,0.083278392,0.180750602,681.5,40.76,0
0.576004883,0.145509107,0.078443454,0.163518374,681,40.76,0
0.755473513,0.070497194,0.047981445,0.104290992,681,40.62,0
0.500181216,0.165221262,0.092577783,0.198733223,681.5,40.69,0
0.705023998,0.105100068,0.049618041,0.113182491,691,40.76,0
0.627783926,0.100573579,0.060077941,0.170675288,681.5,40.62,0
0.665502104,0.103502734,0.067770089,0.136556475,691,40.62,0
0.711763381,0.121331963,0.048740306,0.092677611,660.5,40.62,0
0.638041344,0.132744676,0.065498925,0.133723516,731,40.62,0
0.714549656,0.101943782,0.049530675,0.107697155,721,40.62,0
0.710441512,0.116189198,0.044280671,0.107573803,701.5,40.62,0
0.556121332,0.170806553,0.073820597,0.163932448,690.5,40.62,0
0.5848445,0.161142098,0.07324558,0.147857299,681,40.47,0
0.549358848,0.114533707,0.079596442,0.215310181,701,40.47,0
0.767709462,0.073055361,0.038019762,0.097973681,681,40.62,0
0.777630943,0.072804032,0.0473097,0.084238331,681,40.62,0
0.810658022,0.064154077,0.034794968,0.075388488,681,40.545,0
0.735113684,0.093604232,0.050429672,0.100027984,621.5,40.47,0
0.802848097,0.063901624,0.03644662,0.079819238,641,40.47,0
0.639900345,0.123438189,0.053445728,0.148533156,681,40.47,0
0.450881721,0.158016279,0.102938692,0.237821161,691.5,40.395,0
0.765412573,0.081418207,0.045025829,0.084449232,691.5,40.47,0
0.562591282,0.133177347,0.073859629,0.186736947,711.5,40.32,0
0.762800988,0.089519859,0.047673506,0.080424592,701.5,40.32,0
0.666626071,0.099194682,0.057215201,0.146002374,691.5,40.32,0
0.79698435,0.063062868,0.036114623,0.083352906,721,40.395,0
0.816982519,0.066803463,0.027199457,0.06821008,711,40.32,0
0.802254475,0.066537373,0.029558574,0.07996459,701,40.32,0
0.772597602,0.080645372,0.035142839,0.090890573,660.5,40.32,0
0.608944596,0.125523482,0.071637432,0.159712525,681,40.32,0
0.737829401,0.087722902,0.041313262,0.109195411,681,40.32,0
0.62828345,0.130422492,0.06697312,0.14299294,691,40.18,0
0.784795245,0.070127452,0.040828413,0.08179766,700.5,40.32,0
0.595023997,0.164588189,0.058844722,0.147668026,691.5,40.32,0
0.616522076,0.196281954,0.067252322,0.096519684,691,40.32,0
0.50944288,0.152690907,0.078587296,0.215693405,661,40.32,0
0.601693156,0.129576255,0.079668428,0.149892216,710.5,40.32,0
0.636639484,0.122936377,0.062063477,0.143719968,681.5,40.32,0
0.722102785,0.111399947,0.037990936,0.107462163,711,40.32,0
0.817882477,0.063079079,0.033858085,0.068455049,691,40.32,0
0.751802288,0.087367477,0.04009138,0.09967071,681,40.32,0
